,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,usCite_1,usCite_2,,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
5517,1971-158,1971-158-01,1971-158-01-01,1971-158-01-01-01,6/22/72,1,407 U.S. 551,407,551,,92 S. Ct. 2219,33 L. Ed. 2d 131,1972 U.S. LEXIS 137,1971,1504,Burger,71-492,"LLOYD CORP., LTD. v. TANNER et al.",4/18/72,,235,,218,,1,,,0,108,,29,,0,11,2,2,1,4,0,1,0,0,30010,3,1,0,2,,2,200,,101,99,1,5,4
5518,1971-159,1971-159-01,1971-159-01-01,1971-159-01-01-01,6/26/72,1,408 U.S. 1,408,1,,92 S. Ct. 2318,33 L. Ed. 2d 154,1972 U.S. LEXIS 25,1971,1504,Burger,71-288,"LAIRD, SECRETARY OF DEFENSE, et al. v. TATUM et al.",3/27/72,,324,,218,,1,6,,0,55,,32,,1,11,4,2,1,3,0,1,0,0,30010,3,1,0,3,,,,,99,99,1,5,4
5522,1971-161,1971-161-01,1971-161-01-01,1971-161-01-01-01,6/26/72,1,408 U.S. 92,408,92,,92 S. Ct. 2286,33 L. Ed. 2d 212,1972 U.S. LEXIS 133,1971,1504,Burger,70-87,POLICE DEPARTMENT OF THE CITY OF CHICAGO et al. v. MOSLEY,1/19/72,,3,17,218,,1,,,0,66,,27,,0,11,3,2,4,2,0,0,0,0,30150,3,2,0,2,,2,231,,98,99,1,9,0
5523,1971-162,1971-162-01,1971-162-01-01,1971-162-01-01-01,6/26/72,1,408 U.S. 104,408,104,,92 S. Ct. 2294,33 L. Ed. 2d 222,1972 U.S. LEXIS 26,1971,1504,Burger,70-5106,GRAYNED v. CITY OF ROCKFORD,1/19/72,,218,,3,17,2,,,0,302,17,300,17,0,1,2,1,4,3,0,1,0,0,30150,3,2,0,2,,2,231,,98,99,1,9,0
5524,1971-162,1971-162-01,1971-162-01-02,1971-162-01-02-01,6/26/72,1,408 U.S. 104,408,104,,92 S. Ct. 2294,33 L. Ed. 2d 222,1972 U.S. LEXIS 26,1971,1504,Burger,70-5106,GRAYNED v. CITY OF ROCKFORD,1/19/72,,218,,3,17,2,,,0,302,17,300,17,0,1,2,1,4,3,0,1,0,0,30150,3,1,0,2,,2,200,,98,99,1,8,1
5526,1971-165,1971-165-01,1971-165-01-01,1971-165-01-01-01,6/26/72,1,408 U.S. 169,408,169,,92 S. Ct. 2338,33 L. Ed. 2d 266,1972 U.S. LEXIS 160,1971,1504,Burger,71-452,HEALY et al. v. JAMES et al.,3/28/72,,239,,26,8,1,117,8,0,53,,22,,1,12,2,1,1,4,0,1,0,0,30010,3,2,0,2,,2,201,,101,99,1,9,0
5530,1971-168,1971-168-01,1971-168-01-01,1971-168-01-01-01,6/26/72,2,408 U.S. 229,408,229,,92 S. Ct. 2245,33 L. Ed. 2d 312,1972 U.S. LEXIS 28,1971,1504,Burger,71-5625,KOIS v. WISCONSIN,,,190,,28,58,1,,,0,302,58,300,58,0,12,2,1,1,3,0,1,0,0,30190,3,2,0,2,,2,200,,,99,1,9,0
5540,1971-175,1971-175-01,1971-175-01-01,1971-175-01-01-01,6/29/72,1,408 U.S. 606,408,606,,92 S. Ct. 2614,33 L. Ed. 2d 583,1972 U.S. LEXIS 21,1971,1504,Burger,71-1017,GRAVEL v. UNITED STATES,4/19/72,,23,,27,,1,,,0,80,,21,,0,12,2,2,1,5,0,1,0,0,30010,3,1,0,1,,1,106,,95,99,1,5,4
5541,1971-175,1971-175-02,1971-175-02-01,1971-175-02-01-01,6/29/72,1,408 U.S. 606,408,606,,92 S. Ct. 2614,33 L. Ed. 2d 583,1972 U.S. LEXIS 21,1971,1504,Burger,71-1026,UNITED STATES v. GRAVEL,4/19/72,,27,,23,,1,,,0,80,,21,,0,12,2,1,1,5,0,1,0,0,30010,3,1,0,1,,1,106,,95,99,1,5,4
5542,1971-176,1971-176-01,1971-176-01-01,1971-176-01-01-01,6/29/72,1,408 U.S. 665,408,665,,92 S. Ct. 2646,33 L. Ed. 2d 626,1972 U.S. LEXIS 132,1971,1504,Burger,70-85,"BRANZBURG v. HAYES et al., JUDGES",2/23/72,,226,,28,21,1,,,0,302,21,300,21,0,12,9,1,1,2,0,0,0,0,30010,3,1,0,2,,2,200,,95,99,1,5,4
5543,1971-176,1971-176-02,1971-176-02-01,1971-176-02-01-01,6/29/72,1,408 U.S. 665,408,665,,92 S. Ct. 2646,33 L. Ed. 2d 626,1972 U.S. LEXIS 132,1971,1504,Burger,70-94,In re PAPPAS,2/23/72,,226,,28,26,1,,,0,302,26,300,26,0,12,2,1,1,2,0,0,0,0,30010,3,1,0,2,,2,200,,95,99,1,5,4
5544,1971-176,1971-176-03,1971-176-03-01,1971-176-03-01-01,6/29/72,1,408 U.S. 665,408,665,,92 S. Ct. 2646,33 L. Ed. 2d 626,1972 U.S. LEXIS 132,1971,1504,Burger,70-57,UNITED STATES v. CALDWELL,2/23/72,,27,,226,,1,,,0,50,,29,,0,12,3,2,1,3,0,1,0,0,30010,3,1,0,1,,2,200,,95,99,1,5,4
5545,1971-177,1971-177-01,1971-177-01-01,1971-177-01-01-01,6/29/72,1,408 U.S. 753,408,753,,92 S. Ct. 2576,33 L. Ed. 2d 683,1972 U.S. LEXIS 22,1971,1504,Burger,71-16,"KLEINDIENST, ATTORNEY GENERAL, et al. v. MANDEL et al.",4/18/72,,1,,106,,2,27,,1,94,,94,,1,1,1,2,1,3,0,1,0,0,30060,3,1,0,4,,3,344,,100,99,1,6,3
5546,1971-177,1971-177-01,1971-177-01-02,1971-177-01-02-01,6/29/72,1,408 U.S. 753,408,753,,92 S. Ct. 2576,33 L. Ed. 2d 683,1972 U.S. LEXIS 22,1971,1504,Burger,71-16,"KLEINDIENST, ATTORNEY GENERAL, et al. v. MANDEL et al.",4/18/72,,1,,106,,2,27,,1,94,,94,,1,1,1,2,1,3,0,1,0,0,30060,3,1,0,1,,2,200,,100,99,1,6,3
5568,1972-015,1972-015-01,1972-015-01-01,1972-015-01-01-01,12/5/72,1,409 U.S. 109,409,109,,93 S. Ct. 390,34 L. Ed. 2d 342,1972 U.S. LEXIS 128,1972,1504,Burger,71-36,CALIFORNIA et al. v. LARUE et al.,10/10/72,,28,6,115,,2,117,6,1,48,,48,,0,1,,2,1,3,0,1,0,0,30190,3,1,0,2,,2,200,,102,99,1,6,3
5569,1972-015,1972-015-01,1972-015-01-02,1972-015-01-02-01,12/5/72,1,409 U.S. 109,409,109,,93 S. Ct. 390,34 L. Ed. 2d 342,1972 U.S. LEXIS 128,1972,1504,Burger,71-36,CALIFORNIA et al. v. LARUE et al.,10/10/72,,28,6,115,,2,117,6,1,48,,48,,0,1,,2,1,3,0,1,0,0,30190,3,1,0,2,,2,237,,102,99,1,6,3
5652,1972-075,1972-075-01,1972-075-01-01,1972-075-01-01-01,3/19/73,2,410 U.S. 667,410,667,,93 S. Ct. 1197,35 L. Ed. 2d 618,1973 U.S. LEXIS 93,1972,1504,Burger,72-794,PAPISH v. BOARD OF CURATORS OF THE UNIVERSITY OF MISSOURI et al.,,,239,,26,30,1,117,30,0,87,,28,,1,12,2,1,1,4,0,1,0,0,30010,3,2,0,2,,2,200,,,81,1,6,3
5668,1972-089,1972-089-01,1972-089-01-01,1972-089-01-01-01,4/2/73,7,411 U.S. 192,411,192,,93 S. Ct. 1463,36 L. Ed. 2d 151,1973 U.S. LEXIS 85,1972,1504,Burger,71-1470,"LEMON et al. v. KURTZMAN, SUPERINTENDENT OF PUBLIC INSTRUCTION OF PENNSYLVANIA, et al.",11/8/72,,25,45,28,45,2,,,1,109,,109,,1,1,,1,1,2,0,0,0,0,30180,3,1,0,2,,2,203,,99,99,1,5,3
5669,1972-089,1972-089-01,1972-089-01-02,1972-089-01-02-01,4/2/73,7,411 U.S. 192,411,192,,93 S. Ct. 1463,36 L. Ed. 2d 151,1973 U.S. LEXIS 85,1972,1504,Burger,71-1470,"LEMON et al. v. KURTZMAN, SUPERINTENDENT OF PUBLIC INSTRUCTION OF PENNSYLVANIA, et al.",11/8/72,,25,45,28,45,2,,,1,109,,109,,1,1,,1,1,2,0,0,0,0,30180,3,1,0,3,,,,,99,99,1,5,3
5720,1972-125,1972-125-01,1972-125-01-01,1972-125-01-01-01,5/29/73,1,412 U.S. 94,412,94,,93 S. Ct. 2080,36 L. Ed. 2d 772,1973 U.S. LEXIS 4,1972,1504,Burger,71-863,"COLUMBIA BROADCASTING SYSTEM, INC. v. DEMOCRATIC NATIONAL COMMITTEE",10/16/72,,191,,211,,1,38,,0,32,,32,,1,11,3,2,1,3,0,1,0,0,30010,3,1,0,1,5,2,200,,99,99,1,7,2
5721,1972-125,1972-125-02,1972-125-02-01,1972-125-02-01-01,5/29/73,1,412 U.S. 94,412,94,,93 S. Ct. 2080,36 L. Ed. 2d 772,1973 U.S. LEXIS 4,1972,1504,Burger,71-864,FEDERAL COMMUNICATIONS COMMISSION et al. v. BUSINESS EXECUTIVES' MOVE FOR VIETNAM PEACE et al.,10/16/72,,338,,207,,1,38,,0,32,,32,,1,11,3,2,1,3,0,1,0,0,30010,3,1,0,1,5,2,200,,99,99,1,7,2
5722,1972-125,1972-125-03,1972-125-03-01,1972-125-03-01-01,5/29/73,1,412 U.S. 94,412,94,,93 S. Ct. 2080,36 L. Ed. 2d 772,1973 U.S. LEXIS 4,1972,1504,Burger,71-865,"POST-NEWSWEEK STATIONS, CAPITAL AREA, INC. v. BUSINESS EXECUTIVES' MOVE FOR VIETNAM PEACE",10/16/72,,191,,207,,1,38,,0,32,,32,,1,11,3,2,1,3,0,1,0,0,30010,3,1,0,1,5,2,200,,99,99,1,7,2
5723,1972-125,1972-125-04,1972-125-04-01,1972-125-04-01-01,5/29/73,1,412 U.S. 94,412,94,,93 S. Ct. 2080,36 L. Ed. 2d 772,1973 U.S. LEXIS 4,1972,1504,Burger,71-866,"AMERICAN BROADCASTING COS., INC. v. DEMOCRATIC NATIONAL COMMITTEE",10/16/72,,191,,211,,1,38,,0,32,,32,,1,11,3,2,1,3,0,1,0,0,30010,3,1,0,1,5,2,200,,99,99,1,7,2
5770,1972-158,1972-158-01,1972-158-01-01,1972-158-01-01-01,6/21/73,1,413 U.S. 15,413,15,,93 S. Ct. 2607,37 L. Ed. 2d 419,1973 U.S. LEXIS 149,1972,1504,Burger,70-73,MILLER v. CALIFORNIA,1/18/72,11/7/72,101,,28,6,2,,,0,302,6,302,6,0,1,2,1,1,5,0,1,1,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
5771,1972-159,1972-159-01,1972-159-01-01,1972-159-01-01-01,6/21/73,1,413 U.S. 49,413,49,,93 S. Ct. 2628,37 L. Ed. 2d 446,1973 U.S. LEXIS 19,1972,1504,Burger,71-1051,"PARIS ADULT THEATRE I et al. v. SLATON, DISTRICT ATTORNEY, et al.",10/19/72,,156,,28,13,1,,,0,302,13,300,13,0,12,3,1,1,5,0,1,0,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
5772,1972-160,1972-160-01,1972-160-01-01,1972-160-01-01-01,6/21/73,1,413 U.S. 115,413,115,,93 S. Ct. 2680,37 L. Ed. 2d 492,1973 U.S. LEXIS 40,1972,1504,Burger,71-1422,KAPLAN v. CALIFORNIA,10/19/72,,117,,28,6,1,,,0,302,6,301,6,0,11,2,1,1,5,0,1,0,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
5773,1972-161,1972-161-01,1972-161-01-01,1972-161-01-01-01,6/21/73,1,413 U.S. 123,413,123,,93 S. Ct. 2665,37 L. Ed. 2d 500,1973 U.S. LEXIS 124,1972,1504,Burger,70-2,"UNITED STATES v. 12 200-FT. REELS OF SUPER 8MM. FILM et al. (PALADINI, CLAIMANT)",1/19/72,11/7/72,27,,156,,2,,,0,48,,48,,0,1,,2,1,5,0,1,0,0,30200,3,1,0,1,,2,200,,99,99,1,5,4
5774,1972-161,1972-161-01,1972-161-01-02,1972-161-01-02-01,6/21/73,1,413 U.S. 123,413,123,,93 S. Ct. 2665,37 L. Ed. 2d 500,1973 U.S. LEXIS 124,1972,1504,Burger,70-2,"UNITED STATES v. 12 200-FT. REELS OF SUPER 8MM. FILM et al. (PALADINI, CLAIMANT)",1/19/72,11/7/72,27,,156,,2,,,0,48,,48,,0,1,,2,1,5,0,1,0,0,30200,3,1,0,1,,6,600,19 U.S.C. § 1305,99,99,1,5,4
5775,1972-162,1972-162-01,1972-162-01-01,1972-162-01-01-01,6/21/73,1,413 U.S. 139,413,139,,93 S. Ct. 2674,37 L. Ed. 2d 513,1973 U.S. LEXIS 41,1972,1504,Burger,70-69,UNITED STATES v. ORITO,1/19/72,11/7/72,27,,156,,2,,,0,132,,132,,0,1,,2,1,5,0,1,0,0,30200,3,1,0,1,,2,200,,99,99,1,5,4
5776,1972-162,1972-162-01,1972-162-01-02,1972-162-01-02-01,6/21/73,1,413 U.S. 139,413,139,,93 S. Ct. 2674,37 L. Ed. 2d 513,1973 U.S. LEXIS 41,1972,1504,Burger,70-69,UNITED STATES v. ORITO,1/19/72,11/7/72,27,,156,,2,,,0,132,,132,,0,1,,2,1,5,0,1,0,0,30200,3,1,0,1,,6,600,18 U.S.C. § 1462,99,99,1,5,4
5784,1972-168,1972-168-01,1972-168-01-01,1972-168-01-01-01,6/21/73,1,413 U.S. 376,413,376,,93 S. Ct. 2553,37 L. Ed. 2d 669,1973 U.S. LEXIS 150,1972,1504,Burger,72-419,PITTSBURGH PRESS CO. v. PITTSBURGH COMMISSION ON HUMAN RELATIONS et al.,3/20/73,,190,,3,45,1,117,45,0,302,45,301,45,0,11,2,1,1,2,0,0,0,0,30020,3,1,0,2,,2,200,,101,92,1,5,4
5790,1972-172,1972-172-01,1972-172-01-01,1972-172-01-01-01,6/25/73,1,413 U.S. 472,413,472,,93 S. Ct. 2814,37 L. Ed. 2d 736,1973 U.S. LEXIS 29,1972,1504,Burger,72-269,"LEVITT, COMPTROLLER OF NEW YORK, et al. v. COMMITTEE FOR PUBLIC EDUCATION & RELIGIOUS LIBERTY et al.",3/19/73,,28,37,25,37,2,,,1,96,,96,,1,1,,2,3,2,0,0,0,0,30180,3,2,0,2,,2,203,,99,99,1,8,1
5791,1972-172,1972-172-02,1972-172-02-01,1972-172-02-01-01,6/25/73,1,413 U.S. 472,413,472,,93 S. Ct. 2814,37 L. Ed. 2d 736,1973 U.S. LEXIS 29,1972,1504,Burger,72-270,ANDERSON v. COMMITTEE FOR PUBLIC EDUCATION & RELIGIOUS LIBERTY et al.,3/19/73,,211,,25,37,2,,,1,96,,96,,1,1,,2,3,2,0,0,0,0,30180,3,2,0,2,,2,203,,99,99,1,8,1
5792,1972-172,1972-172-03,1972-172-03-01,1972-172-03-01-01,6/25/73,1,413 U.S. 472,413,472,,93 S. Ct. 2814,37 L. Ed. 2d 736,1973 U.S. LEXIS 29,1972,1504,Burger,72-271,CATHEDRAL ACADEMY et al. v. COMMITTEE FOR PUBLIC EDUCATION & RELIGIOUS LIBERTY et al.,3/19/73,,232,,25,37,2,,,1,96,,96,,1,1,,2,3,2,0,0,0,0,30180,3,2,0,2,,2,203,,99,99,1,8,1
5793,1972-173,1972-173-01,1972-173-01-01,1972-173-01-01-01,6/25/73,1,413 U.S. 483,413,483,,93 S. Ct. 2789,37 L. Ed. 2d 745,1973 U.S. LEXIS 30,1972,1504,Burger,71-1043,HELLER v. NEW YORK,11/14/72,,156,,28,37,1,,,0,302,37,300,37,0,11,2,1,1,5,0,1,0,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
5794,1972-174,1972-174-01,1972-174-01-01,1972-174-01-01-01,6/25/73,1,413 U.S. 496,413,496,,93 S. Ct. 2796,37 L. Ed. 2d 757,1973 U.S. LEXIS 31,1972,1504,Burger,71-1134,ROADEN v. KENTUCKY,11/14/72,,156,,28,21,1,,,0,302,21,300,21,0,12,2,1,1,4,0,1,0,0,30190,3,2,0,2,,2,205,,99,99,1,9,0
5799,1972-177,1972-177-01,1972-177-01-01,1972-177-01-01-01,6/25/73,1,413 U.S. 548,413,548,,93 S. Ct. 2880,37 L. Ed. 2d 796,1973 U.S. LEXIS 146,1972,1504,Burger,72-634,"UNITED STATES CIVIL SERVICE COMMISSION et al. v. NATIONAL ASSOCIATION OF LETTER CARRIERS, AFL-CIO, et al.",3/26/73,,320,,8,60,2,,,1,55,,55,,1,1,,2,1,3,0,1,0,0,30010,3,1,0,1,5,2,200,,95,99,1,6,3
5800,1972-177,1972-177-01,1972-177-01-02,1972-177-01-02-01,6/25/73,1,413 U.S. 548,413,548,,93 S. Ct. 2880,37 L. Ed. 2d 796,1973 U.S. LEXIS 146,1972,1504,Burger,72-634,"UNITED STATES CIVIL SERVICE COMMISSION et al. v. NATIONAL ASSOCIATION OF LETTER CARRIERS, AFL-CIO, et al.",3/26/73,,320,,8,60,2,,,1,55,,55,,1,1,,2,1,3,0,1,0,0,30010,3,1,0,1,5,6,600,5 U.S.C. § 7324,95,99,1,6,3
5801,1972-178,1972-178-01,1972-178-01-01,1972-178-01-01-01,6/25/73,1,413 U.S. 601,413,601,,93 S. Ct. 2908,37 L. Ed. 2d 830,1973 U.S. LEXIS 34,1972,1504,Burger,71-1639,BROADRICK et al. v. OKLAHOMA et al.,3/26/73,,8,42,28,42,2,117,42,1,107,,107,,0,1,9,1,1,2,0,0,0,0,30010,3,1,0,2,,2,200,,95,99,1,5,4
5807,1972-182,1972-182-01,1972-182-01-01,1972-182-01-01-01,6/25/73,1,413 U.S. 734,413,734,,93 S. Ct. 2868,37 L. Ed. 2d 923,1973 U.S. LEXIS 13,1972,1504,Burger,71-1523,"HUNT v. MCNAIR, GOVERNOR OF SOUTH CAROLINA, et al.",2/21/73,,25,48,28,48,2,117,48,0,302,48,300,48,0,1,2,1,1,2,0,0,0,0,30180,3,1,0,2,,2,203,,101,99,1,6,3
5808,1972-183,1972-183-01,1972-183-01-01,1972-183-01-01-01,6/25/73,1,413 U.S. 825,413,825,,93 S. Ct. 2982,37 L. Ed. 2d 939,1973 U.S. LEXIS 37,1972,1504,Burger,72-459,"SLOAN, TREASURER OF PENNSYLVANIA, et al. v. LEMON et al.",4/16/73,,28,45,25,45,2,,,1,109,,109,,0,1,,2,3,2,0,0,0,0,30180,3,2,0,2,,2,203,,101,81,1,6,3
5809,1972-183,1972-183-02,1972-183-02-01,1972-183-02-01-01,6/25/73,1,413 U.S. 825,413,825,,93 S. Ct. 2982,37 L. Ed. 2d 939,1973 U.S. LEXIS 37,1972,1504,Burger,72-620,CROUTER v. LEMON et al.,4/16/73,,28,45,25,45,2,,,1,109,,109,,0,1,,2,3,2,0,0,0,0,30180,3,2,0,2,,2,203,,101,81,1,6,3
5810,1972-183,1972-183-02,1972-183-02-02,1972-183-02-02-01,6/25/73,1,413 U.S. 825,413,825,,93 S. Ct. 2982,37 L. Ed. 2d 939,1973 U.S. LEXIS 37,1972,1504,Burger,72-620,CROUTER v. LEMON et al.,4/16/73,,28,45,25,45,2,,,1,109,,109,,0,1,,2,3,2,0,0,0,0,30180,3,2,0,2,,2,231,,101,81,1,6,3
5811,1972-183,1972-183-02,1972-183-02-03,1972-183-02-03-01,6/25/73,1,413 U.S. 825,413,825,,93 S. Ct. 2982,37 L. Ed. 2d 939,1973 U.S. LEXIS 37,1972,1504,Burger,72-620,CROUTER v. LEMON et al.,4/16/73,,28,45,25,45,2,,,1,109,,109,,0,1,,2,3,2,0,0,0,0,30180,3,2,0,2,,2,231,,101,81,1,6,3
5812,1972-184,1972-184-01,1972-184-01-01,1972-184-01-01-01,6/25/73,1,413 U.S. 756,413,756,,93 S. Ct. 2955,37 L. Ed. 2d 948,1973 U.S. LEXIS 36,1972,1504,Burger,72-694,"COMMITTEE FOR PUBLIC EDUCATION & RELIGIOUS LIBERTY et al. v. NYQUIST, COMMISSIONER OF EDUCATION OF NEW YORK, et al.",4/16/73,,25,37,28,37,2,,,1,96,,96,,1,1,,1,3,3,0,1,0,0,30180,3,2,0,2,,2,203,,101,81,1,6,3
5813,1972-184,1972-184-02,1972-184-02-01,1972-184-02-01-01,6/25/73,1,413 U.S. 756,413,756,,93 S. Ct. 2955,37 L. Ed. 2d 948,1973 U.S. LEXIS 36,1972,1504,Burger,72-753,ANDERSON v. COMMITTEE FOR PUBLIC EDUCATION & RELIGIOUS LIBERTY et al.,4/16/73,,211,,25,37,2,,,1,96,,96,,1,12,,1,3,2,0,1,0,0,30180,3,2,0,2,,2,203,,101,81,1,6,3
5814,1972-184,1972-184-03,1972-184-03-01,1972-184-03-01-01,6/25/73,1,413 U.S. 756,413,756,,93 S. Ct. 2955,37 L. Ed. 2d 948,1973 U.S. LEXIS 36,1972,1504,Burger,72-791,"NYQUIST, COMMISSIONER OF EDUCATION OF NEW YORK, et al. v. COMMITTEE FOR PUBLIC EDUCATION & RELIGIOUS LIBERTY et al.",4/16/73,,28,37,25,37,2,,,1,96,,96,,1,1,,2,3,2,0,1,0,0,30180,3,2,0,2,,2,203,,101,81,1,6,3
5815,1972-184,1972-184-04,1972-184-04-01,1972-184-04-01-01,6/25/73,1,413 U.S. 756,413,756,,93 S. Ct. 2955,37 L. Ed. 2d 948,1973 U.S. LEXIS 36,1972,1504,Burger,72-929,CHERRY et al. v. COMMITTEE FOR PUBLIC EDUCATION & RELIGIOUS LIBERTY et al.,4/16/73,,202,,25,37,2,,,1,96,,96,,0,1,,2,3,2,0,1,0,0,30180,3,2,0,2,,2,203,,101,81,1,6,3
5816,1972-185,1972-185-01,1972-185-01-01,1972-185-01-01-01,6/25/73,6,413 U.S. 836,413,836,,93 S. Ct. 2803,37 L. Ed. 2d 993,1973 U.S. LEXIS 38,1972,1504,Burger,71-1315,ALEXANDER et al. v. VIRGINIA,10/19/72,,178,,28,55,1,,,0,302,55,300,55,0,12,2,1,1,5,0,1,0,0,30190,3,1,1,2,,2,200,,,99,1,5,4
5819,1973-002,1973-002-01,1973-002-01-01,1973-002-01-01-01,10/15/73,2,414 U.S. 2,414,2,,94 S. Ct. 17,38 L. Ed. 2d 3,1973 U.S. LEXIS 164,1973,1504,Burger,72-6897,PLUMMER v. CITY OF COLUMBUS,,,177,,3,41,2,,,0,302,41,300,41,0,1,2,1,3,3,0,1,0,0,30010,3,2,0,2,,2,200,,,81,1,5,4
5820,1973-002,1973-002-01,1973-002-01-02,1973-002-01-02-01,10/15/73,2,414 U.S. 2,414,2,,94 S. Ct. 17,38 L. Ed. 2d 3,1973 U.S. LEXIS 164,1973,1504,Burger,72-6897,PLUMMER v. CITY OF COLUMBUS,,,177,,3,41,2,,,0,302,41,300,41,0,1,2,1,3,3,0,1,0,0,30010,3,2,0,2,,8,800,,,,1,5,4
5824,1973-005,1973-005-01,1973-005-01-01,1973-005-01-01-01,11/5/73,2,414 U.S. 14,414,14,,94 S. Ct. 187,38 L. Ed. 2d 170,1973 U.S. LEXIS 167,1973,1504,Burger,72-1366,NORWELL v. CITY OF CINCINNATI,,,218,,3,41,1,,,0,302,41,300,41,0,12,2,1,1,3,0,1,0,0,30150,3,2,0,2,,2,200,,,99,1,9,0
5830,1973-010,1973-010-01,1973-010-01-01,1973-010-01-01-01,11/12/73,2,414 U.S. 31,414,31,,94 S. Ct. 196,38 L. Ed. 2d 190,1973 U.S. LEXIS 172,1973,1504,Burger,72-1733,MUSSER v. UNITED STATES,,,142,,27,,1,107,,0,50,,29,,0,12,2,1,1,2,0,0,0,0,30130,3,1,0,5,,,,,,99,1,6,3
5831,1973-010,1973-010-02,1973-010-02-01,1973-010-02-01-01,11/12/73,2,414 U.S. 31,414,31,,94 S. Ct. 196,38 L. Ed. 2d 190,1973 U.S. LEXIS 172,1973,1504,Burger,72-6748,WALDRON v. UNITED STATES,,,142,,27,,1,107,,0,50,,27,,0,12,2,1,1,2,0,0,0,0,30130,3,1,0,5,,,,,,99,1,6,3
5838,1973-016,1973-016-01,1973-016-01-01,1973-016-01-01-01,11/19/73,2,414 U.S. 105,414,105,,94 S. Ct. 326,38 L. Ed. 2d 303,1973 U.S. LEXIS 177,1973,1504,Burger,73-5290,HESS v. INDIANA,,,218,,28,18,2,,,0,302,18,300,18,1,1,2,1,1,3,0,1,0,0,30150,3,2,0,2,,2,200,,,81,1,6,3
5862,1973-033,1973-033-01,1973-033-01-01,1973-033-01-01-01,1/9/74,1,414 U.S. 441,414,441,,94 S. Ct. 656,38 L. Ed. 2d 635,1974 U.S. LEXIS 147,1973,1504,Burger,72-1040,"COMMUNIST PARTY OF INDIANA et al. v. WHITCOMB, GOVERNOR OF INDIANA, et al.",10/16/73,,211,,4,18,2,117,18,1,68,,68,,0,1,,1,3,3,0,1,0,0,30100,3,2,0,2,,2,200,,92,99,1,9,0
5863,1973-033,1973-033-01,1973-033-01-02,1973-033-01-02-01,1/9/74,1,414 U.S. 441,414,441,,94 S. Ct. 656,38 L. Ed. 2d 635,1974 U.S. LEXIS 147,1973,1504,Burger,72-1040,"COMMUNIST PARTY OF INDIANA et al. v. WHITCOMB, GOVERNOR OF INDIANA, et al.",10/16/73,,211,,4,18,2,117,18,1,68,,68,,0,1,,1,3,3,0,1,0,0,30100,3,2,0,4,,6,600,28 U.S.C. § 2101,92,99,1,9,0
5889,1973-052,1973-052-01,1973-052-01-01,1973-052-01-01-01,2/20/74,1,415 U.S. 130,415,130,,94 S. Ct. 970,39 L. Ed. 2d 214,1974 U.S. LEXIS 96,1973,1504,Burger,72-6156,LEWIS v. CITY OF NEW ORLEANS,12/10/73,,218,,3,22,2,,,0,300,22,300,22,1,1,,1,4,4,0,1,0,0,30150,3,2,0,2,,2,200,,92,81,1,6,3
5923,1973-075,1973-075-01,1973-075-01-01,1973-075-01-01-01,3/25/74,1,415 U.S. 566,415,566,,94 S. Ct. 1242,39 L. Ed. 2d 605,1974 U.S. LEXIS 113,1973,1504,Burger,72-1254,"SMITH, SHERIFF v. GOGUEN",11/12/73,,28,26,218,,2,,,0,80,,21,,0,1,3,2,3,2,0,0,0,0,30150,3,2,0,2,,2,230,,101,81,1,6,3
5966,1973-096,1973-096-01,1973-096-01-01,1973-096-01-01-01,4/29/74,1,416 U.S. 396,416,396,,94 S. Ct. 1800,40 L. Ed. 2d 224,1974 U.S. LEXIS 132,1973,1504,Burger,72-1465,"PROCUNIER, CORRECTIONS DIRECTOR, et al. v. MARTINEZ et al.",12/3/73,,28,6,215,,2,117,6,1,50,,50,,0,1,3,2,3,2,0,0,0,0,30010,3,2,0,2,,2,200,,101,99,1,9,0
6019,1973-134,1973-134-01,1973-134-01-01,1973-134-01-01-01,6/10/74,1,417 U.S. 402,417,402,,94 S. Ct. 2274,41 L. Ed. 2d 159,1974 U.S. LEXIS 70,1973,1504,Burger,73-62,WHEELER et al. v. BARRERA et al.,1/16/74,,2,30,239,,1,117,30,0,87,,28,,1,10,3,1,1,2,0,0,0,0,30180,3,1,0,4,,3,324,,100,99,1,8,1
